Question,labelA,1,labelB,2,labelC,3,labelD,4,labelE,5
"(1) How do you get your crush's attention?
","(A) Facebook poke
",293,"(B) Three words: megaphone, Annenberg, balcony.
",344,"(C) ""Coincidentally"" enroll in the same class, ""coincidentally"" get the same section, and then ""coincidentally"" demand that they pset with you. 
",1624,"(D) Meekly wave hi, and spend the rest of the day wondering whether they saw you or not.
",1359,"(E) Correctly predict and select all their Datamatch answers
",576
"(2) When was the last time you cried, and why?
","(A) Let's see, so it's been about an hour since lunch...and earlier when I heard that sad song...and, oh, when they ran out of bacon for breakfast...
",699,"(B) When was my last final?
",1182,"(C) A couple times when I was a kid and my parents had to send my pets to the farm. I hear they're really happy, though!
",677,"(D) I've only cried one time in my life. Curse you, George R.R. Martin.
",508,"(E) I don't cry. I lubricate my face.
",1130
"(3) What is Harvard's Finest News Source?
","(A) The Crimson
",660,"(B) Your drunk, gossipy roommate 
",1383,"(C) Harvard Leads 2016 email list
",596,"(D) The Harvard Snapchat story
",729,"(E) Datamatch is contractually obligated to include ""Satire V"" as an answer
",828
"(4) On a scale of 1 to 5, how often do you follow sports?
","(A) 1: Is The Bachelorette a sport?
",366,"(B) 2: One time the Olympics was on, and I couldn't find the remote to change the channel.
",961,"(C) 3: All my friends watch football, and I'm still too embarassed to ask them why this owl is so superb.
",632,"(D) 4: Every year I watch the side-entertainment that they include with the Super Bowl commercials.
",1333,"(E) 5: A lot...once I watched a basketball game on my phone while in the audience for that game.
",904
"(5) What is the language of love?
","(A) French
",815,"(B) Parseltongue
",713,"(C) C++
",350,"(D) Emoji :heart_eyes: :eggplant: :hankey:
",1225,"(E) All I really need to understand is when you talk dirty to me
",1093
"(6) The Gen Ed that most describes my life is...
","(A) Science of Living Systems - You know what this one means, baby.
",814,"(B) Aesthetic and Interpretive Understanding - No one knows what this one means, baby.
",1144,"(C) Ethical Reasoning - The just and right thing to do would be to study. Yet here I am.
",902,"(D) Empirical and Mathematical Reasoning - If I have $100, and my paycheck is for $40, how many grams can I afford?
",697,"(E) Culture and Belief - Jesus, take the wheel.
",639
"(7) If I had to have a romantic tryst with an author I would pick...
","(A) Leo Tolstoy - Length matters.
",598,"(B) Dr. Seuss - I would do it here, I would do it there, I would do it anywhere.
",1445,"(C) George R.R. Martin - I just hope I don't get killed off.
",356,"(D) Jane Austen - It is a truth universally acknowledged that a single person, in posession of a good fortune, must be in want of a snuggle buddy.
",1173,"(E) Gabriel Garcia Marquez - One Hundred Years of Solitude
",624
"(8) How would you be most likely to die in a zombie apocalypse?
","(A) Tripping over a rock running from the first zombie you see.
",1001,"(B) Testing a prion-deactivated, beta-infused vaccine that apparently just makes the virus stronger.
",828,"(C) What's this door ""Don't Dead Open Inside"" mean? Let me open it and find out.
",432,"(D) Teaming up with your best friends, and inevitably devolving into shooting each other.
",1024,"(E) Trying to Rambo your way through a zombie horde, and being eaten by the first one.
",911
"(9) Which class are you in the bedroom?
","(A) Expository Writing - Everyone's been in me at some point
",245,"(B) CS 50 - Stay up till 4 AM and end up leaving with a new t-shirt
",2134,"(C) Math 55 - Confusing, esoteric, and involves a lot of commutative diagrams
",735,"(D) Economics 10 - 700 people are involved
",296,"(E) Chem 17 - Starts bright-eyed and full of hope, and ends in tears
",786
"(10) What color is the dress?
","(A) Black and blue.
",1158,"(B) White and gold.
",1002,"(C) It was red and yellow and green and brown / And scarlet and black and ocher and peach / And ruby and olive and violet and fawn / And lilac and gold and chocolate and mauve / And cream and crimson and silver and rose / And azure and lemon and ...
",490,"(D) I don't respect your socially constructed fabric binaries.
",900,"(E) You know what? I'm colorblind, and I'm tired of hearing about this dress. It's whatever color you want it to be, okay?
",646
