ID Number,Year,House,Gender,Interested,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,Sophomore,Leverett,Male,Women,C,B,C,B,E,B,B,A,B,E,D,A,B,B,C,A,D,B,E,D,D,A,D,A,A,A,B,B,E,A,B
2,Sophomore,Cabot,Male,Women,B,D,A,D,E,C,E,B,B,A,E,A,B,A,E,E,C,D,D,B,D,A,D,D,C,B,E,B,B,A,D
3,Junior,Lowell,Male,Women,D,E,E,E,C,B,E,E,C,D,A,B,D,E,A,D,E,B,D,B,D,E,B,A,C,D,E,D,B,A,D
4,Junior,Adams,Male,Women,B,D,A,C,E,B,C,B,C,E,C,B,D,B,B,B,D,C,B,B,E,B,E,D,D,B,B,E,A,D,D
5,Sophomore,Lowell,Female,Men,D,C,D,C,E,B,D,C,B,A,C,C,D,C,E,D,E,A,E,E,C,B,C,E,B,E,E,D,B,A,C
6,Sophomore,Mather,Male,Women,D,B,E,D,C,D,E,D,B,C,A,D,A,B,C,E,E,B,E,A,C,B,D,C,E,C,B,E,B,B,D
7,Junior,Quincy,Male,Women,D,B,C,A,C,C,E,D,E,B,D,B,B,A,E,A,E,A,B,E,D,A,D,E,B,E,B,D,A,A,E
8,Sophomore,Cabot,Male,Women,C,C,A,E,D,C,D,E,D,A,C,B,E,D,E,D,B,C,D,E,D,A,A,C,B,B,B,A,E,C,C
9,Freshman,Hurlbut,Male,Women,E,E,C,B,C,C,D,A,C,A,B,C,E,E,E,A,A,A,D,B,A,C,D,B,B,E,B,B,C,A,C
10,Sophomore,Quincy,Female,Men,D,B,A,A,D,E,B,C,E,D,A,A,E,C,E,B,A,A,E,B,D,E,A,A,C,E,E,B,B,E,E
11,Sophomore,Dunster,Male,Women,C,D,D,D,E,E,B,D,B,D,B,E,C,A,E,E,E,E,A,C,C,C,D,E,C,D,C,B,D,A,C
12,Sophomore,Quincy,Female,Men,B,B,C,C,E,A,E,B,E,C,E,C,E,C,D,E,B,A,E,B,A,A,C,A,A,A,B,D,A,A,C
13,Sophomore,Currier,Male,Both,D,E,D,B,E,A,B,C,B,A,E,A,A,C,B,D,D,B,E,B,A,D,E,E,C,A,A,B,E,B,C
14,Sophomore,Winthrop,Female,Men,D,E,B,C,D,B,E,A,E,B,E,C,E,D,D,C,D,E,B,A,C,E,A,E,D,A,B,B,D,A,B
15,Junior,Adams,Female,Men,C,B,B,A,A,B,D,A,B,E,D,C,D,C,D,D,B,A,D,E,D,D,A,E,E,C,D,D,A,A,D
16,Junior,Winthrop,Female,Men,D,C,B,C,B,E,B,A,D,C,D,B,E,A,D,E,D,A,E,E,A,E,E,D,D,A,D,A,D,E,D
17,Sophomore,Mather,Female,Men,C,B,A,B,A,C,D,C,B,C,C,A,E,C,C,E,E,A,C,C,D,C,E,A,C,A,B,A,B,A,C
18,Junior,None,Female,Men,C,C,D,E,E,C,D,D,B,A,A,B,A,A,D,E,A,B,E,E,D,C,B,E,A,E,A,B,D,A,D
19,Freshman,Wigglesworth,Female,Men,C,E,B,D,D,B,D,A,E,B,C,B,D,C,D,A,E,B,B,C,D,A,A,E,A,C,A,D,A,A,B
20,Junior,Winthrop,Male,Women,D,E,E,B,E,A,C,E,B,D,B,A,D,A,E,A,E,A,B,B,E,A,E,D,E,A,C,D,C,B,A
21,Junior,Dunster,Male,Men,D,A,C,C,B,B,D,D,E,B,E,C,B,C,A,D,E,D,E,B,E,E,D,A,A,A,E,B,D,D,D
22,Sophomore,Eliot,Male,Women,E,B,B,A,B,E,A,A,B,B,D,E,C,A,D,E,E,E,E,B,A,E,E,B,C,A,B,D,E,E,E
23,Freshman,Wigglesworth,Female,Women,D,E,B,C,C,C,B,D,E,D,C,C,A,E,B,B,B,E,E,A,E,A,C,A,E,B,A,A,B,E,A
24,Junior,Leverett,Male,Women,C,B,A,D,D,A,B,D,B,E,B,B,E,C,E,A,D,A,C,C,E,C,E,D,A,E,C,C,D,A,B
25,Junior,None,Male,Women,E,E,A,C,D,C,E,B,D,A,B,E,C,E,E,B,D,E,B,D,D,B,E,D,A,C,B,D,D,A,E
26,Junior,Eliot,Male,Women,C,D,B,E,D,A,B,E,B,C,D,D,A,D,A,C,C,D,D,A,A,A,D,C,D,E,D,A,E,A,B
27,Junior,Quincy,Male,Women,D,B,B,D,A,E,B,A,D,E,D,A,B,A,E,B,D,A,C,E,D,B,C,B,A,B,C,B,D,A,C
28,Sophomore,Quincy,Male,Women,D,E,C,D,E,A,B,C,B,A,A,B,B,A,E,B,E,B,D,E,A,E,E,E,C,A,E,E,B,A,A
29,Junior,Quincy,Male,Women,C,E,C,A,A,E,D,A,D,C,A,E,C,E,E,E,E,E,C,A,D,C,E,C,D,A,E,D,A,B,C
