ID Number,Year,House,Gender,Interested,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
12,Freshman,Matthews,Male,Men,C,A,E,C,D,B,A,A,B,D,C,D,D,D,D,C,E,D,B,B,D,A,B,D,C,D,C,C,D,E,A,C
13,Freshman,Holworthy,Female,Men,A,E,E,A,B,D,A,D,A,C,B,B,B,D,B,B,B,D,C,E,C,B,E,E,D,A,B,D,B,C,B,A
14,Freshman,Hurlbut,Male,Women,C,E,C,C,C,B,B,D,B,E,C,E,E,E,B,A,D,A,E,A,E,C,E,C,C,B,A,B,B,A,A,D
15,Freshman,Apley,Female,Men,D,A,C,C,D,B,A,C,D,C,D,A,D,E,E,E,D,B,B,A,A,B,A,D,B,E,D,B,A,B,D,C
16,Sophomore,Winthrop,Male,Women,A,A,A,C,E,A,A,C,A,A,D,B,A,C,A,D,D,A,E,C,D,C,E,A,D,B,B,A,D,D,A,B
17,Freshman,Greenough,Male,Women,A,E,C,A,C,D,B,A,C,B,E,A,E,A,B,C,B,A,B,B,C,B,E,A,C,D,E,E,B,C,A,A
18,Freshman,Apley,Female,Men,C,D,D,C,C,C,A,C,A,D,C,B,A,D,E,C,A,B,B,C,D,E,B,A,B,C,E,E,B,B,A,E
19,Senior,None,Female,Men,C,D,B,A,B,B,A,C,A,D,D,B,A,E,E,B,C,A,D,A,D,B,E,D,C,B,E,C,A,D,B,B
20,Sophomore,Lowell,Male,Women,C,D,C,B,B,B,A,A,C,B,C,E,B,A,B,C,D,D,E,B,C,A,D,D,D,B,E,C,B,D,A,D
21,Freshman,Canaday,Male,Women,A,C,C,B,D,E,A,C,A,B,C,A,B,C,B,C,B,A,E,D,E,E,C,C,C,D,A,E,D,B,A,E
22,Senior,Leverett,Female,Men,B,A,A,B,E,A,A,D,D,C,C,C,E,B,C,B,C,D,C,D,B,E,D,E,D,B,A,D,C,A,D,B
23,Freshman,Greenough,Female,Men,C,A,D,B,C,B,D,E,E,A,B,A,D,B,B,A,C,E,B,C,C,E,B,C,D,C,D,B,E,D,A,E
24,Sophomore,Cabot,Male,Women,E,D,D,C,E,D,A,C,C,B,C,A,B,E,D,C,B,E,E,D,E,B,D,E,A,B,B,B,A,B,B,C
25,Junior,Adams,Male,Women,C,D,C,C,A,E,A,A,C,D,E,E,B,C,B,D,D,D,E,B,D,D,A,A,A,E,C,A,D,D,B,A
26,Freshman,Pennypacker,Female,Men,B,C,A,C,B,B,D,C,B,A,E,E,C,B,C,B,D,D,C,C,A,B,A,D,D,B,C,D,D,B,D,C
27,Sophomore,Mather,Male,Women,C,D,E,A,D,C,A,E,C,D,D,A,C,E,E,E,B,C,D,C,A,C,B,E,D,B,E,D,B,A,B,E
28,Sophomore,Quincy,Female,Men,A,E,B,D,B,B,A,C,D,D,C,E,A,D,E,D,B,D,B,E,D,A,D,D,D,B,B,C,D,B,A,E
29,Freshman,Matthews,Male,Women,C,C,A,B,C,B,A,C,A,D,D,D,B,C,E,A,D,B,A,D,A,B,D,D,E,B,B,D,D,B,A,C
30,Freshman,Weld,Male,Women,C,E,C,E,E,E,E,C,A,D,C,D,B,B,E,B,E,E,A,E,D,B,C,D,B,D,D,E,E,D,C,E
31,Sophomore,Eliot,Male,Men,A,D,C,E,E,C,E,A,A,E,C,A,A,E,C,A,C,B,B,B,D,D,D,A,B,C,E,B,B,C,A,A
32,Freshman,Canaday,Male,Women,B,E,C,E,E,D,A,A,A,B,C,C,C,C,D,D,B,A,E,B,D,C,D,B,E,B,E,E,B,B,A,B
33,Freshman,Greenough,Female,Men,E,A,B,C,E,B,A,D,D,D,B,E,C,E,E,A,B,B,D,B,D,C,D,B,E,A,E,A,D,D,A,D
34,Senior,Adams,Female,Men,A,A,A,C,B,E,A,D,A,B,D,D,C,C,D,A,B,C,B,B,E,A,D,B,D,D,D,A,D,B,A,C
35,Freshman,Straus,Female,Men,A,A,E,A,C,B,A,A,B,B,D,E,D,D,E,C,B,D,E,B,D,D,E,B,B,A,D,B,B,D,A,C
